name,governmentType,currency,population,area
Romania,Republic,Leu,19237691,238397
Portugal,Republic,Euro,10196709,92090
Alaska,Republic,US Dollar,731545,1717858
France,Republic,Euro,67000000,551695
Germany,Federal Republic,Euro,83000000,357022
Italy,Republic,Euro,60360000,301340
Spain,Constitutional Monarchy,Euro,46730000,505990
United Kingdom,Constitutional Monarchy,Pound Sterling,67886011,242495
United States,Federal Republic,US Dollar,331002651,9372610
Indonesia,Republic,Rupiah,273523615,1910931
India,Federal Parliamentary,Dollar,1380004385,3287263
Brazil,Federal Republic,Real,212559417,8515767
